model,task,language,token_ratio,char_ratio,word_ratio,tokens_per_char,tokens_per_word,chars_per_word
llama3.1-8b,commonsense,sw,4.110021404942596,2.147465308645243,2.196517318201725,0.3828193647359736,2.2887490301635394,5.978665765098024
llama3.1-8b,commonsense,tr,2.6350107024712983,1.9109911615473596,1.5135289525296571,0.27580343853034317,2.129513373424251,7.7211269909166385
llama3.1-8b,commonsense,zh,1.0152481027437246,0.2766870048123405,0.061170668545423384,0.7339380366648286,20.301011673151752,27.660389105058364
llama3.1-8b,math,ar,1.3766363575785845,0.9538516188842391,0.9043473130604816,0.4128361034256617,2.117922813819327,5.130178286843306
llama3.1-8b,math,de,0.992282389430387,0.9014512341988753,0.7662160339828737,0.3148707381257653,1.8018149818501816,5.722395776042239
llama3.1-8b,math,es,1.119398826002411,1.0903473431584054,0.9941170521205583,0.29366976355378127,1.5666553624417126,5.33475201356507
llama3.1-8b,math,fi,2.506339465825039,1.7203597327996256,1.2882644460926438,0.41673490724820733,2.7068302257114816,6.495328753680079
llama3.1-8b,math,fr,1.5619619934939453,1.5003526282501147,1.3648776211988403,0.2977942959833504,1.5922193404964802,5.346708657527479
llama3.1-8b,math,hi,2.911774505230892,1.594170803767144,1.7002225069111996,0.5224709452731991,2.3827480567893398,4.560536960659898
llama3.1-8b,math,ko,1.4118017652368289,0.6893527062268777,0.82002225069112,0.5858298434978458,2.395378954509014,4.0888646781918725
llama3.1-8b,math,sw,1.5599992730665082,1.1108569646245419,0.985655046861304,0.4017034021245729,2.202041968087835,5.4817608126827775
llama3.1-8b,math,tr,2.764237295322789,2.6030792157270466,1.9005124401591262,0.3037576286891968,2.0236283327124687,6.661983573696628
llama3.1-8b,math,zh,1.1148191450050582,0.48904599762604073,0.21732351156361676,0.6520696179657438,7.137133992631375,10.94535582703122
llama3.3-70b,code,ar,1.792592526195961,1.3002523339751955,1.4378736363782854,0.35090917704694247,2.241177591249874,6.386773951340871
llama3.3-70b,code,de,2.223855579358748,2.0648128713142357,2.088496430815837,0.274136376493883,1.914204150914281,6.982671090193657
llama3.3-70b,code,es,2.046744888538315,2.005277111072579,2.195201340659695,0.2597945909169,1.676118679898996,6.451707381525632
llama3.3-70b,code,fi,2.1272195978953596,1.3919846318114204,1.2458305805765482,0.38897229716218823,3.06950785746621,7.89132768544267
llama3.3-70b,code,fr,2.1553382393804394,2.0355343730892432,2.208495141719976,0.26951179736177566,1.7544233421131354,6.509634677542921
llama3.3-70b,code,hi,2.6505203338024255,1.4794436788742162,1.9273916756634815,0.45600908008611274,2.472159983948099,5.42129552218841
llama3.3-70b,code,ko,1.7112483529485583,0.9601056791114924,1.2946067451940895,0.4536644947269867,2.3762415672997936,5.237883049961415
llama3.3-70b,code,sw,2.3410449701065765,1.5428693977750805,1.5769348523179556,0.38620809993907596,2.6687716501640044,6.910190776902404
llama3.3-70b,code,tr,1.7063721843263446,1.4664208729934203,1.3639278750866113,0.2961801277024756,2.2490430508955153,7.593497471764094
llama3.3-70b,code,zh,1.6117798911825605,0.8401968478786607,0.47830290529979536,0.4882761055218389,6.05784455749082,12.406596368291614
llama3.3-70b,commonsense,ar,0.8538420390838295,0.4485736148998085,0.46641206669849167,0.37241011532145174,2.206963423174301,5.926164012138406
llama3.3-70b,commonsense,de,1.2914544936678083,0.922334082238179,0.814611023173622,0.2739482374716143,1.91124430690779,6.9766621773057675
llama3.3-70b,commonsense,es,1.1179878705356834,0.8571929524112426,0.8808070148991232,0.2551738463099678,1.5301841762463038,5.9966340531135005
llama3.3-70b,commonsense,fi,1.2351490479134681,0.6202427212837126,0.4714705660661792,0.3896147154083157,3.158291144861888,8.106190603073097
llama3.3-70b,commonsense,fr,1.1167443572981723,0.8331355735238352,0.8091923988509502,0.2622501517198176,1.6637549161664251,6.344152349410059
llama3.3-70b,commonsense,hi,1.5836592634789193,0.6150588318443583,0.738641407669824,0.5037589166541443,2.5847317338654814,5.130890289809062
llama3.3-70b,commonsense,ko,0.7881998235461664,0.26817589341901565,0.3841695769788029,0.5750349707056988,2.4734363759237863,4.301366876675895
llama3.3-70b,commonsense,sw,1.0579310440648293,0.537536986521072,0.515698935537633,0.38505845942228334,2.473138885279979,6.422762115109783
llama3.3-70b,commonsense,tr,0.8220247730067316,0.5849721573216662,0.458673567665804,0.27493331598464643,2.16057114685851,7.858527945660708
llama3.3-70b,commonsense,zh,0.7573065086455432,0.19494631942490634,0.029881996264750466,0.7600362546189778,30.55269058295964,40.198991031390136
llama3.3-70b,math,ar,1.0420755654284886,0.6609484334024155,0.6632784789502049,0.42051712660372786,2.1008295383685116,4.995823964021844
llama3.3-70b,math,de,1.260645427363646,1.0635938871069757,0.9108376051236416,0.31613252006722375,1.8507148459537932,5.854237474715506
llama3.3-70b,math,es,1.1889791824836675,1.0837435344881465,1.0126085703184728,0.29261715551147044,1.5700741400863936,5.365625734902776
llama3.3-70b,math,fi,1.108324194621751,0.700235245883197,0.5566946996377856,0.4221578798924666,2.6621788954679513,6.306121530044802
llama3.3-70b,math,fr,1.2281678523559132,1.0733937156099769,0.9993231980147141,0.3051762486462567,1.643384796759184,5.385035054494375
llama3.3-70b,math,hi,1.8975620729409781,0.9401235478379127,1.0293656861393459,0.5383480119982131,2.464982345062706,4.578789723608913
llama3.3-70b,math,ko,1.0306310866162398,0.44554720292394884,0.5426949252384473,0.6169664800080797,2.5394226327944573,4.115981524249423
llama3.3-70b,math,sw,1.3700756404127887,0.8875669675780674,0.8078509030293155,0.41171384068523204,2.2677795705597616,5.508145091225022
llama3.3-70b,math,tr,1.0014715668906824,0.8212456282015065,0.6744958451878126,0.3252502252636193,1.9853946781626282,6.104206927307864
llama3.3-70b,math,zh,0.8928755541808435,0.3441989765179109,0.14696629776780679,0.6918841969175347,8.123827392120075,11.74159986355108
llama4-scout,code,ar,0.5094904740107019,0.44179556427585864,0.41102608892440645,0.3310610615872397,2.221474720188577,6.71016612324607
llama4-scout,code,de,0.47325698861932347,0.5492635447276781,0.49100430690023406,0.24734870828159997,1.727374205117495,6.983558625060314
llama4-scout,code,es,0.5049366249427809,0.584751830093051,0.5618595342324312,0.247889806949059,1.6105856068472888,6.497183674753767
llama4-scout,code,fi,0.6260595394061844,0.5336678214019499,0.44164114822384565,0.33677357453230905,2.5405093797288965,7.54367198571623
llama4-scout,code,fr,0.4843022429877038,0.555396140661711,0.5336772724379601,0.25032660474859336,1.626344210700679,6.496889183369222
llama4-scout,code,hi,0.597465786939845,0.5063653932859205,0.5268244213265818,0.33872122418846057,2.0324592078503496,6.000389295710364
llama4-scout,code,ko,0.4977605638249175,0.40505549752928943,0.39736989130204164,0.3527762512253205,2.244916664442012,6.363570837448945
llama4-scout,code,sw,0.5497470522311493,0.47100115322483804,0.4328364014398766,0.3350690581988948,2.2762178633574877,6.793279796090093
llama4-scout,code,tr,0.43204741685476616,0.44046901586193926,0.36600165486807024,0.2815849472957316,2.115548857071088,7.513004077058334
llama4-scout,code,zh,0.4937769324262466,0.3640684367572858,0.2802349346892879,0.3893508744362178,3.1577898070686805,8.110396083330178
llama4-scout,commonsense,ar,0.959016393442623,0.5564786697050694,0.5748921338308229,0.347122690014142,2.0421329558505383,5.883029299431104
llama4-scout,commonsense,de,1.0439938791124712,0.9533211898277509,0.8257558309149816,0.22057901843270952,1.5477137916287025,7.016595697205228
llama4-scout,commonsense,es,1.0624945125239882,1.0019731091248087,0.9916701214550034,0.2135876430586758,1.311607274191176,6.140838746138779
llama4-scout,commonsense,fi,0.9074341189308515,0.6179330608202677,0.46850000767730743,0.2957870571953645,2.37109989512323,8.01623951232302
llama4-scout,commonsense,fr,1.0906844607222144,0.9725457402569841,0.9478096641945738,0.225888740242366,1.4087124157594608,6.236310912389839
llama4-scout,commonsense,hi,1.2372345629460535,0.8174621420739625,0.9447387412286763,0.30485258962912143,1.6031887920946561,5.258898387725914
llama4-scout,commonsense,ko,0.7776725576028196,0.3894111494560686,0.5016352664793404,0.40224799286351476,1.8978114478114476,4.718013468013467
llama4-scout,commonsense,sw,1.0835350634038656,0.6729540045778153,0.6444562163158137,0.3243120471524571,2.0582299893975673,6.346449376362532
llama4-scout,commonsense,tr,0.8219674639708003,0.6415004724345792,0.5071168639734672,0.2580852236925016,1.9842250280073879,7.688255064038513
llama4-scout,commonsense,zh,0.8586426179336987,0.5234246706853081,0.41571084189353114,0.33041803622884114,2.5285144418999774,7.652471005392627
llama4-scout,math,ar,0.9515985751352302,0.6388596901035584,0.6422653124038166,0.4120720912871921,2.073915043704953,5.032893727955835
llama4-scout,math,de,0.8917806411891465,0.8923294790936697,0.7858910433979687,0.2764761702197281,1.5883541686248708,5.744994830341197
llama4-scout,math,es,0.9235850301244559,0.9313706883126995,0.8706802092951679,0.27433374001687694,1.484806493120855,5.4124093267911935
llama4-scout,math,fi,0.8281278860108184,0.6403123296737523,0.5171560480147738,0.35779185492850163,2.2414416988049326,6.264652668666382
llama4-scout,math,fr,0.9105853379656098,0.8896942887175893,0.8487903970452447,0.2831423000030084,1.501660792248669,5.303555110743657
llama4-scout,math,hi,1.0756761511060293,0.7615651522230009,0.852619267466913,0.3907503554483442,1.7659485372686055,4.519377942068328
llama4-scout,math,ko,0.7708254540657021,0.38626586467336294,0.47655278547245306,0.5520706033537852,2.2641056112431537,4.101116048362096
llama4-scout,math,sw,0.9862526936100973,0.7426273067040411,0.691868267159126,0.3674025727223282,1.9953378294214994,5.430930476715838
llama4-scout,math,tr,0.729346057434364,0.6132353227439072,0.5277931671283472,0.32902688225374466,1.9342897130860743,5.8788196874271055
llama4-scout,math,zh,0.7354149258982365,0.36942546523397957,0.2919544475223146,0.5507195784620451,3.5258918782154005,6.402336172724972
