model,task,language,rnorm,ci_lo,ci_hi
gpt-oss-120b,code,ko,1.3942957588216902,1.3187838364648499,1.4733283217824467
llama3.1-8b,commonsense,fr,1.3736368179930536,1.2616403710797865,1.5187610250165318
gpt-oss-120b,code,fr,1.3726925858143308,1.2980118294635499,1.4553141998229644
llama4-scout,math,es,1.363067997154033,1.27526847681656,1.4669450458789004
gpt-oss-20b,code,ko,1.3593991928769003,1.2520754124071158,1.4703350195844576
gpt-oss-120b,code,ar,1.3391421754773576,1.245600923100208,1.4357159125882455
llama3.1-8b,math,zh,1.3375713742928612,1.0839936807530406,1.6579689447055934
llama3.1-8b,commonsense,es,1.332198685663213,1.21397155257987,1.4631010542131662
llama3.3-70b,commonsense,fi,1.3107075147226193,1.2823796739958098,1.3402430425740564
llama3.3-70b,commonsense,de,1.3065591735021147,1.282632968865121,1.3312440834741825
gpt-oss-20b,code,sw,1.3027473644387626,1.1920244818927463,1.4219675026748908
llama4-scout,math,de,1.2954020339817918,1.2147634326461623,1.3903078450441677
llama3.3-70b,math,es,1.2929508848246776,1.2501618131273227,1.3379102079427694
llama3.3-70b,math,de,1.2927885226274822,1.2541427724806105,1.3330041327992597
gpt-oss-120b,math,es,1.2904303442417837,1.2608602923159087,1.323438267475562
gpt-oss-20b,code,zh,1.2880131412515072,1.1824875138211375,1.403954446354552
gpt-oss-120b,math,ko,1.285932330477739,1.25603312586471,1.3161244428611876
llama3.3-70b,math,fr,1.2685698182402303,1.2345972314336946,1.3026571349104388
gpt-oss-120b,math,ar,1.2603895261839564,1.223103022097658,1.2999264138765436
llama3.3-70b,math,fi,1.2589808190226122,1.2236726571500365,1.2952617284582497
llama3.1-8b,math,es,1.252269286400659,1.032731415635756,1.5267830119742347
llama3.1-8b,math,fr,1.2500076842123344,1.0108437024401484,1.557319657718546
gpt-oss-120b,math,tr,1.243459945908428,1.212015050402311,1.2780436811447176
gpt-oss-120b,math,de,1.2431184097708952,1.2136521614048634,1.2743789980862972
gpt-oss-20b,code,hi,1.240381310970564,1.150576684392664,1.328861080201235
gpt-oss-120b,code,zh,1.2368068242661858,1.17045297355883,1.3062582111156762
gpt-oss-120b,math,sw,1.2333299805292526,1.2029474775527755,1.266143120628099
